"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"Kanda Catholic Church","kanda-catholic-church-tokyo","Catholic","catholic","Japan","Tokyo","1-1-2 Nishi-Kanda, Chiyoda-ku, Tokyo 101-0065","Fr. Peter","[http://www.catholic-kanda.jp](http://www.catholic-kanda.jp)","+81 3 3261 0525","info@catholic-kanda.jp","One of the oldest Catholic churches in Tokyo, founded in 1874. It is a registered Tangible Cultural Property of Japan and serves as a significant spiritual landmark in the Kanda district.","To proclaim the Gospel and serve the spiritual needs of the city.","1874","1500","6","false","true","true",null
"Japan Evangelical Lutheran Tokyo Church","jelc-tokyo-church-tokyo","Lutheran","non-denominational","Japan","Tokyo","1-2-1 Okubo, Shinjuku-ku, Tokyo 169-0072","Rev. Kenichi Sekino","[http://www.jelc-tokyo.org](http://www.jelc-tokyo.org)","+81 3 3209 5702","office@jelc-tokyo.org","Located in the bustling Shinjuku area, this church is the flagship of the Japan Evangelical Lutheran Church. It features a stunning pipe organ and a strong focus on community music and service.","Saved by Grace through Faith.","1912","800","5","false","true","true","[http://www.jelc-tokyo.org/support](http://www.jelc-tokyo.org/support)"
"Christ Church Yokohama","christ-church-yokohama-yokohama","Anglican","anglican","Japan","Yokohama","235 Yamate-cho, Naka-ku, Yokohama 231-0862","Rev. David Guest","[http://www.christchurchyokohama.org](http://www.christchurchyokohama.org)","+81 45 623 2100","chaplain@christchurchyokohama.org","A historic international Anglican congregation located on the famous Yamate bluff overlooking the harbor. It has served the expatriate and local English-speaking community for over 150 years.","To be a beacon of Christ's love in the port city.","1863","300","4","false","true","true","[http://www.christchurchyokohama.org/giving](http://www.christchurchyokohama.org/giving)"
"Tokyo Central Church","tokyo-central-church-tokyo","Methodist","methodist","Japan","Tokyo","1-13-11 Nishi-Waseda, Shinjuku-ku, Tokyo 169-0051","Rev. Takashi Yamada","[http://www.tokyocentral.org](http://www.tokyocentral.org)","+81 3 3203 2341","info@tokyocentral.org","A central Methodist congregation with a deep focus on social holiness and urban mission in the Shinjuku district. It hosts numerous community programs for seniors and youth.","Leading people into a transformed life in Christ.","1880","1200","8","false","true","true",null
"Asakusa Catholic Church","asakusa-catholic-church-tokyo","Catholic","catholic","Japan","Tokyo","5-20-5 Asakusa, Taito-ku, Tokyo 111-0032","Fr. Joseph","[http://asakusa-catholic.jp](http://asakusa-catholic.jp)","+81 3 3873 4004","office@asakusa-catholic.jp","A historic parish located in the traditional Asakusa district, dedicated to the North American Martyrs. It serves a diverse population including many migrant families.","Worshipping together in the heart of old Tokyo.","1877","700","4","false","true","true",null
"Takanawa Catholic Church","takanawa-catholic-church-tokyo","Catholic","catholic","Japan","Tokyo","4-7-1 Takanawa, Minato-ku, Tokyo 108-0074","Fr. Michael","[http://takanawa-catholic.org](http://takanawa-catholic.org)","+81 3 3441 5556","info@takanawa-catholic.org","Known for its monument to the Edo Martyrs, this church commemorates the history of faith in Japan. It is located near Shinagawa Station and has a large, active community.","Commemorating the martyrs, living for Christ.","1959","1000","5","false","true","true",null
"Koenji Catholic Church","koenji-catholic-church-tokyo","Catholic","catholic","Japan","Tokyo","2-33-12 Koenjikita, Suginami-ku, Tokyo 166-0002","Fr. Simon","[http://koenji-catholic.jp](http://koenji-catholic.jp)","+81 3 3337 5051","office@koenji-catholic.jp","A welcoming community in the Suginami area known for its vibrant parish life and support for local refugees. It hosts various international cultural exchange events.","Walking together in faith and love.","1928","1200","6","false","true","true",null
"Den-en-chofu Catholic Church","den-en-chofu-catholic-church-tokyo","Catholic","catholic","Japan","Tokyo","3-11-3 Den-en-chofu, Ota-ku, Tokyo 145-0071","Fr. Peter","[http://catholic-denenchofu.jp](http://catholic-denenchofu.jp)","+81 3 3721 2750","info@catholic-denenchofu.jp","A beautiful Franciscan parish in the Den-en-chofu residential area, featuring a traditional garden and architecture. It is known for its quiet, prayerful atmosphere.","Peace and Goodness.","1932","2000","7","false","true","true",null
"Shibuya Evangelical Church","shibuya-evangelical-church-tokyo","Evangelical","evangelical","Japan","Tokyo","1-20-17 Shibuya, Shibuya-ku, Tokyo 150-0002","Pastor Ken Tanaka","[http://shibuya-church.jp](http://shibuya-church.jp)","+81 3 3407 1234","info@shibuya-church.jp","An evangelical congregation located in the heart of Shibuya, focusing on outreach to students and young professionals. It emphasizes personal discipleship and Bible study.","Bringing the light of the Gospel to the city center.","1950","400","4","false","true","true","[http://shibuya-church.jp/give](http://shibuya-church.jp/give)"
"Osaka Central Church","osaka-central-church-osaka","Methodist","methodist","Japan","Osaka","1-11-23 Itachibori, Nishi-ku, Osaka 550-0012","Rev. Hiroshi Sato","[http://osaka-central.org](http://osaka-central.org)","+81 6 6531 3341","info@osaka-central.org","A primary United Church of Christ in Japan (UCCJ) congregation in Osaka, with a long history of social activism and welfare programs. It remains a key hub for Protestantism in the Kansai region.","Serving Osaka with the love of Christ.","1874","800","6","false","true","true",null
"Tamatsukuri Catholic Cathedral","tamatsukuri-catholic-cathedral-osaka","Catholic","catholic","Japan","Osaka","2-2-22 Tamatsukuri, Chuo-ku, Osaka 540-0004","Fr. Michael","[https://osaka-cathedral.jp](https://osaka-cathedral.jp)","+81 6 6941 2332","info@osaka-cathedral.jp","Also known as St. Mary's Cathedral of Osaka, it is the seat of the Archdiocese. The church is famous for its pipe organ and beautiful modernist architecture.","To be the spiritual heart of the Osaka Archdiocese.","1894","3500","10","false","true","true",null
